Equivalent Radiated Power (ERP)  - Order 1.0
EM Rotor Shaft (rpm), Equivalent Radiated Power (ERP)  - Order 1.0 Equivalent Radiated Power (ERP) (dB re 1.0e-12W), EM Rotor Shaft (rpm), Equivalent Radiated Power (ERP)  - Order 10.0 Equivalent Radiated Power (ERP) (dB re 1.0e-12W), EM Rotor Shaft (rpm), Equivalent Radiated Power (ERP)  - Order 18.0 Equivalent Radiated Power (ERP) (dB re 1.0e-12W), EM Rotor Shaft (rpm), Equivalent Radiated Power (ERP)  - Order 20.0 Equivalent Radiated Power (ERP) (dB re 1.0e-12W), EM Rotor Shaft (rpm), Equivalent Radiated Power (ERP)  - Order 3.0 Equivalent Radiated Power (ERP) (dB re 1.0e-12W), EM Rotor Shaft (rpm), Equivalent Radiated Power (ERP)  - Order 4.0 Equivalent Radiated Power (ERP) (dB re 1.0e-12W), EM Rotor Shaft (rpm), Equivalent Radiated Power (ERP)  - Order 6.0 Equivalent Radiated Power (ERP) (dB re 1.0e-12W), EM Rotor Shaft (rpm), Equivalent Radiated Power (ERP)  - Order 8.0 Equivalent Radiated Power (ERP) (dB re 1.0e-12W), EM Rotor Shaft (rpm), Equivalent Radiated Power (ERP)  - Order 9.0 Equivalent Radiated Power (ERP) (dB re 1.0e-12W)
2040, 59.0862926, 2040, 49.6728388, 2040, 53.8435759, 2040, 61.393388, 2040, 51.1437751, 2040, 46.5622752, 2040, 48.8578136, 2040, 44.1547741, 2040, 44.4233605
2080, 58.6838678, 2080, 49.8629823, 2080, 53.43761, 2080, 63.226205, 2080, 50.949428, 2080, 46.4527891, 2080, 48.7899048, 2080, 44.3508368, 2080, 44.2615477
2120, 58.2602758, 2120, 50.0765267, 2120, 53.6792392, 2120, 62.5247434, 2120, 50.7845643, 2120, 46.3493669, 2120, 48.7251085, 2120, 44.6367828, 2120, 44.1176934
2160, 57.8704355, 2160, 50.2839704, 2160, 54.8240141, 2160, 60.4701972, 2160, 50.642674, 2160, 46.2512725, 2160, 48.663442, 2160, 44.9332804, 2160, 44.0217444
2200, 57.546398, 2200, 50.4842142, 2200, 57.0270794, 2200, 58.7685211, 2200, 50.5185521, 2200, 46.1578928, 2200, 48.6049659, 2200, 45.1175672, 2200, 44.0105441
2240, 57.3056678, 2240, 50.6477897, 2240, 60.2634212, 2240, 59.1243985, 2240, 50.4082169, 2240, 46.0687142, 2240, 48.5497887, 2240, 45.1377371, 2240, 44.1246508
2280, 57.1574794, 2280, 50.7046793, 2280, 63.4591296, 2280, 60.9222826, 2280, 50.3086773, 2280, 45.9833063, 2280, 48.4980829, 2280, 45.0417556, 2280, 44.3508711
2320, 57.1064851, 2320, 50.5896377, 2320, 64.4381783, 2320, 62.0691035, 2320, 50.2176895, 2320, 45.9013021, 2320, 48.4500976, 2320, 44.9003692, 2320, 44.5959274
2360, 57.154476, 2360, 50.3668729, 2360, 63.6954887, 2360, 59.9928759, 2360, 50.1335686, 2360, 45.8223902, 2360, 48.406188, 2360, 44.7599298, 2360, 44.7947833
2400, 57.3007788, 2400, 50.2375929, 2400, 61.8614366, 2400, 56.9460336, 2400, 50.0550342, 2400, 45.7463022, 2400, 48.3668447, 2400, 44.6472239, 2400, 44.9592474
2440, 57.5417837, 2440, 50.3003884, 2440, 60.0878912, 2440, 54.5896218, 2440, 49.9811093, 2440, 45.6728084, 2440, 48.332753, 2440, 44.5867951, 2440, 45.1165218
2480, 57.8698573, 2480, 50.5248046, 2480, 59.9054283, 2480, 53.0588607, 2480, 49.911037, 2480, 45.6017077, 2480, 48.3048581, 2480, 44.6106637, 2480, 45.2635154
