,EM Rotor Speed (rpm),ad003a,ad004a,ad005a,ad006a,ad007a,ad008a,ad009a,ad010a,ad011a,ad012a,ad013a,ad014a,ad015a,ad016a,ad017a,ad018a,ad019a,ad020a,ad021a,ad022a,ad023a,ad024a,ad025a,ad026a,ad027a,ad028a,ad029a,ad030a,ad031a,ad032a,ad033a,ad034a
20,760,61.65310654499698,68.70869640247572,60.26242851497274,69.52674808796466,90.8852395103234,90.18974834733322,90.84226787857162,90.08130864324713,94.20919410133342,93.46134853464216,94.14858948465495,93.34163061581448,97.80610878080856,96.7173722784224,97.66725842007757,96.61519242330405,70.30532917671388,72.12741641134687,70.47636568286288,72.48128291930405,90.36800250467428,90.01295043911111,90.26962233588023,89.95213913761535,93.82592120912564,93.43615387944575,93.74231517164631,93.33507357154721,97.51442743195553,96.73381743935941,97.3927388751251,96.66991365401452
21,800,61.66466044057759,68.26443620482064,60.37889453204271,68.80952252806934,91.80974519536498,91.1281511002933,91.75832587248965,91.02164849230113,95.1394220167935,94.39639296957752,95.07362173176647,94.27812668740826,98.73167917897318,97.62940695328302,98.59036260587513,97.52491224355182,70.4630706686074,72.12452092343345,70.6956751572388,72.49874617476728,91.29501519958524,90.95213476759675,91.1895781917591,90.89079794286144,94.75894939569464,94.37176511619032,94.67055645627394,94.27127676410967,98.44138774491718,97.64848046269293,98.3167858788933,97.58239088878193
22,840,62.219365991607475,67.37461210853377,60.926592725156,68.4765091958743,91.59150269800308,91.1142913255223,91.52409980978148,91.02936456296497,94.92617975801372,94.28897786852872,94.84985055203171,94.19197718361089,98.51090231772218,97.42999752438848,98.36741883298902,97.33969655596812,69.80969463509253,71.57613984608668,70.0205839794727,71.77168029252596,91.13057939328655,90.97096310525299,91.01914704368397,90.91854219492296,94.58445030287697,94.26758534328064,94.48982165829854,94.18820542338949,98.24820400878062,97.44568068632532,98.12046100346548,97.38858035310358
23,880,63.07768017612482,67.3754185196137,61.69994306746345,68.01095063317433,91.21050555985966,91.09337976009074,91.1250827333663,91.04023982340082,94.55306053909021,94.11026147343532,94.46529720251075,94.04205081793509,98.12795434050429,97.09375021477956,97.98242840164319,97.02401450743747,69.12902419865114,70.8773135515834,69.26835568855455,71.18722275794914,90.82250457387916,90.99210302457871,90.70621668479463,90.96054795794451,94.26361097859747,94.09483052504237,94.16325725896561,94.04409783500643,97.90257137362329,97.10467843549094,97.7716123333604,97.06140611595252
24,920,63.4571809842112,67.46385109960008,62.10636076694935,68.3854142025099,90.54685832148765,90.849354232763,90.45614851822408,90.81697645270678,93.90447266781268,93.69522375194542,93.81447900716341,93.64593485606909,97.46790822425451,96.50213490059619,97.32292618399461,96.44607955100443,68.72419881695157,70.82296062947262,68.84391233092019,70.86971820169897,90.20058626664623,90.77350006935814,90.08658748816246,90.76126518080397,93.64623356325993,93.6886068534635,93.54745388746151,93.6570379770383,97.2642200359603,96.51427235450035,97.13321182186071,96.48063794024625
25,960,63.05842645566278,67.30509531728852,61.93638737120211,68.44141800917075,89.64516047567739,90.14587249337707,89.55624057455219,90.11970709693328,93.0255271402683,92.91413757861497,92.93904203130177,92.87003751920219,96.5756347342585,95.64829128064045,96.43329138667596,95.5951592304384,68.40697064934743,70.584029533202,68.60643958324737,70.81620742806142,89.31143296574828,90.08275428359846,89.20162788988549,90.07229916221554,92.78030406177734,92.91639577573471,92.68738268201994,92.88890954944287,96.38068943736812,95.66731086574362,96.25233789170849,95.63400827281056
26,1000,62.29754953207086,68.30461915924162,61.51459711479684,69.45621661792829,88.79402558657078,89.2338208459417,88.70796464173965,89.20553328098569,92.18778372976361,92.0304046533485,92.10402888739375,91.98225045553166,95.73065468285739,94.80071314690656,95.59071254290765,94.74541228550207,67.95510987985081,70.49202581236207,68.24650368645452,70.94032001372675,88.45797196375914,89.16411373414753,88.35041858464471,89.15977237134435,91.9436544459646,92.0363576990958,91.85448101614162,92.00918552010144,95.53664090418359,94.8242656497287,95.41083076399602,94.78731748256718
27,1040,61.57308794836338,70.07356803512037,61.153375162247734,70.82045934566088,88.09382276974449,88.40912422255815,88.0114683495739,88.37788488306211,91.48480909930355,91.25787391797914,91.40172489688149,91.20706145006122,95.02889389786287,94.08897284354455,94.89035099450152,94.03297317838023,67.39809995839514,71.36468968627273,67.74766919815758,71.72749293959367,87.74897251533696,88.33155425265772,87.64294294853806,88.34782797587756,91.23335530278828,91.26133168959059,91.1446635877033,91.23081240798777,94.83020187800093,94.11161359650674,94.70570329488356,94.07351077786359
28,1080,60.97864711938609,70.48500448211746,60.901896627620886,71.27438272477235,87.54611737704758,87.76566883996952,87.46699073903729,87.73172832520629,90.92897698540702,90.6518827127585,90.8459688477595,90.59494907317683,94.47711350424939,93.53145973198568,94.3393796309239,93.47614273719157,66.89638525690245,71.71542065782857,67.32233009956167,72.24760925419523,87.19178753722547,87.68882243000374,87.08694250408394,87.69644609088286,90.66842569445869,90.64931462505595,90.57918228179501,90.62504104418382,94.27245604194493,93.55135817851016,94.14855438935058,93.51401800939132
29,1120,60.54748274792211,71.2465220262093,60.919886599471326,71.77675747093775,87.12842597810905,87.2611102643948,87.05324974490131,87.22374495095752,90.50451088271417,90.19343864861335,90.42136666338065,90.1310890751422,94.05636872561033,93.10974181054306,93.91918768296792,93.05098289709977,66.51589457329347,71.97493203455663,67.17873986981961,72.5436777842508,86.76644991553148,87.17644252859068,86.66295533194585,87.1741679475474,90.23607943675816,90.18469080466653,90.14661051124583,90.1469602181701,93.8464764015137,93.12806393574176,93.72300652669296,93.0876589239484
